Сверка 1.xlsx, лист Sheet1. Номера строк — номера строк Excel, не № п/п.
Сопоставление: входящий платёж (F, кредит) и расходный ордер (E, дебет), одинаковая сумма до копейки. Даты не ограничены. Совпадение суммы само по себе не подтверждает связь документов.
Однозначные пары по сумме: 274. Группы с повторяющимися суммами: 0. Без точного совпадения: платежей 9, ордеров 21.

ТОЧНЫЕ ОДНОЗНАЧНЫЕ ПАРЫ
Строка платежа | Строка ордера | Сумма, руб. | Документ платежа | Документ ордера
191 | 423 | 1373614,00 | Входящий платёж (28.12.23, № 12452) | Расходный ордер (22.02.24, № 23821)
218 | 597 | 336019,00 | Входящий платёж (18.01.24, № 12623) | Расходный ордер (30.05.24, № 25518)
250 | 658 | 84072,34 | Входящий платёж (01.02.24, № 12753) | Расходный ордер (03.07.24, № 26009)
251 | 659 | 154704,00 | Входящий платёж (01.02.24, № 12767) | Расходный ордер (03.07.24, № 26010)
258 | 680 | 67388,90 | Входящий платёж (13.02.24, № 12886) | Расходный ордер (03.07.24, № 26012)
269 | 681 | 151475,00 | Входящий платёж (16.02.24, № 12898) | Расходный ордер (03.07.24, № 26013)
278 | 691 | 103406,40 | Входящий платёж (22.02.24, № 12984) | Расходный ордер (03.07.24, № 26019)
432 | 694 | 8341,70 | Входящий платёж (01.03.24, № 13057) | Расходный ордер (03.07.24, № 26021)
433 | 696 | 26915,80 | Входящий платёж (01.03.24, № 13058) | Расходный ордер (03.07.24, № 26024)
434 | 699 | 60772,90 | Входящий платёж (01.03.24, № 13059) | Расходный ордер (03.07.24, № 26026)
446 | 702 | 8481,37 | Входящий платёж (06.03.24, № 13109) | Расходный ордер (03.07.24, № 26030)
447 | 706 | 15845,00 | Входящий платёж (07.03.24, № 13120) | Расходный ордер (03.07.24, № 26032)
450 | 707 | 68694,32 | Входящий платёж (08.03.24, № 13129) | Расходный ордер (03.07.24, № 26034)
455 | 722 | 46046,15 | Входящий платёж (12.03.24, № 13158) | Расходный ордер (03.07.24, № 26037)
457 | 595 | 44747,15 | Входящий платёж (13.03.24, № 13180) | Расходный ордер (30.05.24, № 25516)
460 | 723 | 15659,20 | Входящий платёж (14.03.24, № 13188) | Расходный ордер (03.07.24, № 26039)
463 | 726 | 6053,60 | Входящий платёж (15.03.24, № 13196) | Расходный ордер (03.07.24, № 26041)
465 | 733 | 33026,40 | Входящий платёж (18.03.24, № 13217) | Расходный ордер (03.07.24, № 26043)
473 | 735 | 5560,20 | Входящий платёж (21.03.24, № 13263) | Расходный ордер (03.07.24, № 26046)
474 | 740 | 22931,10 | Входящий платёж (22.03.24, № 13265) | Расходный ордер (03.07.24, № 26048)
479 | 742 | 7625,00 | Входящий платёж (26.03.24, № 13299) | Расходный ордер (03.07.24, № 26050)
480 | 745 | 21900,20 | Входящий платёж (26.03.24, № 13313) | Расходный ордер (03.07.24, № 26052)
485 | 749 | 5839,90 | Входящий платёж (28.03.24, № 13329) | Расходный ордер (03.07.24, № 26055)
487 | 753 | 33879,50 | Входящий платёж (29.03.24, № 13340) | Расходный ордер (03.07.24, № 26057)
489 | 754 | 12937,00 | Входящий платёж (01.04.24, № 13363) | Расходный ордер (03.07.24, № 26059)
492 | 761 | 6725,25 | Входящий платёж (05.04.24, № 13402) | Расходный ордер (03.07.24, № 26064)
496 | 763 | 16762,60 | Входящий платёж (08.04.24, № 13413) | Расходный ордер (03.07.24, № 26066)
501 | 770 | 55043,95 | Входящий платёж (11.04.24, № 13461) | Расходный ордер (03.07.24, № 26068)
508 | 771 | 12576,40 | Входящий платёж (16.04.24, № 13518) | Расходный ордер (03.07.24, № 26070)
